scene_idx,v2i_network,n_vehicles,chosen_leader,is_leader,vehicle_id,queue_length,t_pair_avg_s,t_fuse_avg_s,D_hat_proc_s,D_hat_v2i_s,D_hat_total_s
0,3G,3,0,True,0,1,0.0030021255122867734,0.0008971645833348495,0.00990354112019517,0.32521614499999996,0.3351196861201951
0,3G,3,0,False,1,1,0.003052252862229608,0.0010638351504663108,0.010220593737155134,0.32521614499999996,0.33543673873715507
0,3G,3,0,False,2,1,0.0030261290219150707,0.0011552361165812289,0.010233623182326441,0.32521614499999996,0.3354497681823264
1,3G,3,1,False,0,2,0.0030444222936730388,0.0010267516057456151,0.01320444078043777,0.32521614499999996,0.3384205857804377
1,3G,3,1,True,1,1,0.0031287289083352884,0.001054932510555914,0.010441119235561779,0.32521614499999996,0.33565726423556175
1,3G,3,1,False,2,2,0.0031213569198456073,0.0008747414908910591,0.013360169170273488,0.32521614499999996,0.33857631417027345
2,3G,3,1,False,0,2,0.003025150200335582,0.0009610135511784815,0.01306161435252081,0.32521614499999996,0.33827775935252075
2,3G,3,1,True,1,0,0.003076503577356316,0.0009798405868143706,0.0071328477415270024,0.32521614499999996,0.33234899274152696
2,3G,3,1,False,2,1,0.0029925130796726097,0.0010307117632050958,0.010008251002222926,0.32521614499999996,0.33522439600222287
3,3G,3,1,False,0,1,0.0029699012361629803,0.0008963612163703337,0.009806064924859274,0.32521614499999996,0.3350222099248592
3,3G,3,1,True,1,1,0.0028377130881499803,0.0009921075711243899,0.00950524683557433,0.32521614499999996,0.3347213918355743
3,3G,3,1,False,2,2,0.003163829997936346,0.0010671132314958671,0.013722433223241251,0.32521614499999996,0.3389385782232412
4,3G,3,2,False,0,1,0.0030254832586651733,0.00081080692313636,0.00988725669913188,0.32521614499999996,0.33510340169913183
4,3G,3,2,False,1,2,0.003209503112078074,0.0009541622459946537,0.01379217469430695,0.32521614499999996,0.3390083196943069
4,3G,3,2,True,2,0,0.003065995781895292,0.0009723661767879665,0.007104357740578551,0.32521614499999996,0.3323205027405785
5,3G,3,1,False,0,0,0.003198481294884728,0.0008700186911136668,0.007266981280883123,0.32521614499999996,0.33248312628088306
5,3G,3,1,True,1,0,0.002991119421128416,0.0009804913377149983,0.00696273017997183,0.32521614499999996,0.3321788751799718
5,3G,3,1,False,2,2,0.003167289842989409,0.001005556247492438,0.013674715619450073,0.32521614499999996,0.33889086061945
6,3G,3,1,False,0,1,0.003150254773031902,0.001034865505822912,0.010485629824918618,0.32521614499999996,0.3357017748249186
6,3G,3,1,True,1,0,0.00284605288776433,0.0010179906300614408,0.0067100964055901,0.32521614499999996,0.3319262414055901
6,3G,3,1,False,2,1,0.0031111507125988922,0.00099334604680014,0.010326798184596815,0.32521614499999996,0.33554294318459676
7,3G,3,1,False,0,0,0.003109523696233465,0.0010187140730087874,0.0072377614654757175,0.32521614499999996,0.3324539064654757
7,3G,3,1,True,1,0,0.0030054025839557044,0.0008199982778432372,0.006830803445754646,0.32521614499999996,0.3320469484457546
7,3G,3,1,False,2,1,0.003160504632634834,0.0009300973849508586,0.01041161128285536,0.32521614499999996,0.3356277562828553
8,3G,3,0,True,0,0,0.0031443175390308033,0.000910921645120979,0.007199556723182585,0.32521614499999996,0.3324157017231825
8,3G,3,0,False,1,0,0.0031186691433920492,0.0009944511426334054,0.007231789429417504,0.32521614499999996,0.33244793442941745
8,3G,3,0,False,2,2,0.003042970764288274,0.0011363609012327654,0.013308243958385861,0.32521614499999996,0.3385243889583858
9,3G,3,1,False,0,2,0.00305491842566441,0.0008852006493977122,0.013104874352055353,0.32521614499999996,0.33832101935205533
9,3G,3,1,True,1,1,0.003104509610404234,0.0009308082678290495,0.010244337099041751,0.32521614499999996,0.3354604820990417
9,3G,3,1,False,2,1,0.003224309789151443,0.001159901346462975,0.010832830713917302,0.32521614499999996,0.33604897571391723
10,3G,3,1,False,0,1,0.002951663091407851,0.0011932149337594337,0.010048204207982988,0.32521614499999996,0.3352643492079829
10,3G,3,1,True,1,0,0.002934162991608897,0.0009128809311924677,0.006781206914410262,0.32521614499999996,0.3319973519144102
10,3G,3,1,False,2,0,0.0030427486558047443,0.0009830315872549557,0.007068528898864444,0.32521614499999996,0.3322846738988644
11,3G,3,1,False,0,2,0.0032915649450744127,0.0009807476400165063,0.014147007420314156,0.32521614499999996,0.3393631524203141
11,3G,3,1,True,1,2,0.0031066768012336017,0.0009646143676234566,0.013391321572557863,0.32521614499999996,0.3386074665725578
11,3G,3,1,False,2,2,0.003136588343587402,0.0011335718662436778,0.013679925240593286,0.32521614499999996,0.33889607024059326
12,3G,3,0,True,0,2,0.0029858422699556627,0.0009732102237033965,0.012916579303526047,0.32521614499999996,0.338132724303526
12,3G,3,0,False,1,2,0.003017574003042691,0.0009684108778771044,0.013038706890047868,0.32521614499999996,0.33825485189004784
12,3G,3,0,False,2,2,0.0030293845566119427,0.0009620592711574314,0.013079597497605202,0.32521614499999996,0.33829574249760513
13,3G,3,1,False,0,2,0.0029630594851382487,0.0010517951953463351,0.01290403313589933,0.32521614499999996,0.3381201781358993
13,3G,3,1,True,1,0,0.0029298907533467002,0.00097750583499836,0.006837287341691761,0.32521614499999996,0.3320534323416917
13,3G,3,1,False,2,1,0.0028912126433319426,0.0009767912993953298,0.009650429229391157,0.32521614499999996,0.3348665742293911
14,3G,3,2,False,0,2,0.003063685641705058,0.0010827925213604192,0.013337535088180651,0.32521614499999996,0.3385536800881806
14,3G,3,2,False,1,1,0.003278360358644878,0.0010212911374280088,0.010856372213362641,0.32521614499999996,0.3360725172133626
14,3G,3,2,True,2,1,0.002955667076394066,0.0009214561235522776,0.009788457352734474,0.32521614499999996,0.33500460235273444
15,3G,3,2,False,0,1,0.003216836047528049,0.0010801584653148202,0.010730666607898969,0.32521614499999996,0.3359468116078989
15,3G,3,2,False,1,1,0.0031642400385171023,0.0009644494196234535,0.010457169535174761,0.32521614499999996,0.33567331453517474
15,3G,3,2,True,2,1,0.002837322942560259,0.0009399024181220034,0.009451871245802781,0.32521614499999996,0.3346680162458027
16,3G,3,2,False,0,2,0.002893524813511031,0.0009989217983405053,0.012573021052384628,0.32521614499999996,0.33778916605238457
16,3G,3,2,False,1,0,0.0030625763852024,0.001133423905410157,0.007258576675814957,0.32521614499999996,0.33247472167581493
16,3G,3,2,True,2,0,0.0030966576788593833,0.0009734872256776146,0.0071668025833963814,0.32521614499999996,0.3323829475833963
17,3G,3,0,True,0,0,0.0027678621020629252,0.0009678642368974252,0.0065035884410232754,0.32521614499999996,0.33171973344102323
