method,v2i_network,v2v_network,n_vehicles,total_delay_s,tx_delay_s,queue_delay_s,compute_delay_s,v2i_bytes,v2v_bytes,total_bytes,v2v_energy_j,v2i_energy_j,leader_compute_energy_j,cloud_compute_energy_j,self_compute_energy_j,total_energy_j
ODO,3G,N/A,3,0.32256162499999996,0.2968467875,0.0,0.03861,773709.75,0.0,773709.75,0.0,1.39267755,0.0,7.7219999999999995,0.0,9.11467755
SOD,3G,N/A,3,0.1287,0.0,0.0,0.1287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.888000000000005,30.888000000000005
CITRON,3G,DSRC,3,0.3742910283444444,0.3543210283444444,0.0,0.01997,340432.29,515806.5,856238.79,0.25790325,0.6127781219999999,1.4200000000000002,2.574,0.0,4.864681372
CITRON,3G,WiFi,3,0.35534514889999996,0.3353751489,0.0,0.01997,340432.29,515806.5,856238.79,0.15474195,0.6127781219999999,1.4200000000000002,2.574,0.0,4.761520072
ODO,4G,N/A,3,0.09876806499999999,0.0606738715,0.0,0.03861,773709.75,0.0,773709.75,0.0,0.77370975,0.0,7.7219999999999995,0.0,8.49570975
SOD,4G,N/A,3,0.1287,0.0,0.0,0.1287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.888000000000005,30.888000000000005
CITRON,4G,DSRC,3,0.11088352914444444,0.09091352914444444,0.0,0.01997,340432.29,515806.5,856238.79,0.25790325,0.34043228999999997,1.4200000000000002,2.574,0.0,4.59233554
CITRON,4G,WiFi,3,0.09193764969999998,0.0719676497,0.0,0.01997,340432.29,515806.5,856238.79,0.15474195,0.34043228999999997,1.4200000000000002,2.574,0.0,4.4891742400000005
ODO,5G,N/A,3,0.0561890325,0.01783693575,0.0,0.03861,773709.75,0.0,773709.75,0.0,0.541596825,0.0,7.7219999999999995,0.0,8.263596824999999
SOD,5G,N/A,3,0.1287,0.0,0.0,0.1287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.888000000000005,30.888000000000005
CITRON,5G,DSRC,3,0.06747920624444444,0.047509206244444435,0.0,0.01997,340432.29,515806.5,856238.79,0.25790325,0.23830260299999997,1.4200000000000002,2.574,0.0,4.490205853
CITRON,5G,WiFi,3,0.0485333268,0.0285633268,0.0,0.01997,340432.29,515806.5,856238.79,0.15474195,0.23830260299999997,1.4200000000000002,2.574,0.0,4.387044553
ODO,3G,N/A,5,0.34830162499999995,0.30974195,0.0,0.06434999999999999,1289516.25,0.0,1289516.25,0.0,2.32112925,0.0,12.869999999999997,0.0,15.191129249999998
SOD,3G,N/A,5,0.1287,0.0,0.0,0.1287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.480000000000004,51.480000000000004
CITRON,3G,DSRC,5,0.4923401427888889,0.4662701427888889,0.0,0.02607,526122.63,1031613.0,1557735.63,0.5158065,0.9470207340000001,2.64,2.574,0.0,6.676827234
CITRON,3G,WiFi,5,0.4594483839,0.4333783839,0.0,0.02607,526122.63,1031613.0,1557735.63,0.3094839,0.9470207340000001,2.64,2.574,0.0,6.470504634
ODO,4G,N/A,5,0.12450806499999997,0.061189678,0.0,0.06434999999999999,1289516.25,0.0,1289516.25,0.0,1.28951625,0.0,12.869999999999997,0.0,14.159516249999998
SOD,4G,N/A,5,0.1287,0.0,0.0,0.1287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.480000000000004,51.480000000000004
CITRON,4G,DSRC,5,0.1398012803888889,0.11373128038888888,0.0,0.02607,526122.63,1031613.0,1557735.63,0.5158065,0.52612263,2.64,2.574,0.0,6.25592913
CITRON,4G,WiFi,5,0.1069095215,0.08083952150000001,0.0,0.02607,526122.63,1031613.0,1557735.63,0.3094839,0.52612263,2.64,2.574,0.0,6.04960653
ODO,5G,N/A,5,0.0819290325,0.018094839,0.0,0.06434999999999999,1289516.25,0.0,1289516.25,0.0,0.9026613749999999,0.0,12.869999999999997,0.0,13.772661374999997
SOD,5G,N/A,5,0.1287,0.0,0.0,0.1287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.480000000000004,51.480000000000004
CITRON,5G,DSRC,5,0.09454005408888888,0.06847005408888888,0.0,0.02607,526122.63,1031613.0,1557735.63,0.5158065,0.368285841,2.64,2.574,0.0,6.098092341
CITRON,5G,WiFi,5,0.0616482952,0.0355782952,0.0,0.02607,526122.63,1031613.0,1557735.63,0.3094839,0.368285841,2.64,2.574,0.0,5.891769741
